date,state,ave_temp,ave_temp_uncertainty,disaster_occurrence,month,fitted_temp,error,mean,std,anomaly
1835-11-01,AL,13.0,1.856,0.0,11,11.382841183897206,1.617158816102794,0.07553971914386182,1.6277903023785179,0
1835-12-01,AL,7.826,1.91,0.0,12,8.450827754587133,-0.624827754587133,0.40944291643218406,1.13101210484008,0
1836-01-01,AL,7.649,1.461,0.0,1,7.41181633751884,0.23718366248115963,0.4098382413322736,1.1309213714874502,0
1836-02-01,AL,7.676,1.588,0.0,2,9.126400874757548,-1.4504008747575483,-0.6126816556211739,0.8438578306632774,0
1836-03-01,AL,10.329,1.567,0.0,3,12.125825467088289,-1.7968254670882882,-1.0033475597882255,1.0882053044401268,0
1836-04-01,AL,18.202,1.596,0.0,4,15.807479920137393,2.394520079862609,-0.2842354206610758,2.3263277441564787,1
1836-05-01,AL,22.033,1.4580000000000002,0.0,5,21.990302218685446,0.04269778131455482,0.21346413136295853,2.1008843931110985,0
1836-06-01,AL,24.744,1.4280000000000002,0.0,6,25.3967167092511,-0.6527167092510986,0.5948337173086884,1.5968887190702932,0
1836-07-01,AL,26.701,2.684,0.0,7,26.52846523044844,0.17253476955156088,-0.1458280527949943,0.4437527390466324,0
1836-08-01,AL,25.971,2.529,0.0,8,26.229142582445792,-0.25814258244579236,-0.24610817404844335,0.41275733919031454,0
1836-09-01,AL,23.698,2.695,0.0,9,22.40449104536368,1.2935089546363194,0.4026337139140293,0.8010085931372588,1
1836-10-01,AL,13.813999999999998,5.629,0.0,10,17.358722716463905,-3.544722716463907,-0.8364521147577934,2.4704155241945402,0
1836-11-01,AL,8.488,2.426,0.0,11,10.403478569424824,-1.915478569424824,-1.388897443750804,2.4617244336534254,0
1836-12-01,AL,5.411999999999999,3.051,0.0,12,5.869136849238986,-0.4571368492389869,-1.9724460450425727,1.5445810408749443,0
1837-01-01,AL,5.303999999999999,2.908,0.0,1,5.908366795472084,-0.6043667954720844,-0.9923274047119651,0.8028544195243918,0
1837-02-01,AL,9.074,2.066,0.0,2,8.41062533233175,0.6633746676682506,-0.13270965901427356,0.6933482931824326,0
1837-03-01,AL,12.06,1.985,0.0,3,13.378410978110281,-1.3184109781102809,-0.41980103530470486,1.0037016371028527,0
1837-04-01,AL,14.598,1.913,0.0,4,18.204710620274632,-3.6067106202746313,-1.4205823102388873,2.1368753654362083,0
1837-05-01,AL,20.887,1.497,0.0,5,21.42428616097424,-0.5372861609742401,-1.8208025864530508,1.5951926604450224,0
1837-06-01,AL,24.537,2.212,0.0,6,25.189600387596336,-0.6526003875963369,-1.5988657229484027,1.7398003309300927,0
1837-07-01,AL,27.776,2.9160000000000004,0.0,7,26.72050616208341,1.0554938379165897,-0.04479757021799576,0.954623082596645,1
